geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0048018	receptor ligand activity	http://amigo.geneontology.org/amigo/term/GO:0048018	336	29	8.307973219720024	3.4906227106227106	4.6929902186576555e-9	7.278827829138024e-6	116;265;268;970;1082;1392;1440;1489;2247;2657;3623;3958;4050;4902;4909;5967;8740;9048;9518;26281;27006;51293;53342;64806;94027;114336;151176;151449;723961	TNFSF14;AMH;INHA;REG1A;CRH;FGF2;CSF3;CGB3;LGALS3;ADCYAP1;GDF1;CD70;NTF4;LTB;CTF1;ARTN;GDF7;IL17D;AMELX;NRTN;GDF15;IL25;FGF20;CD320;CGB7;ERFE;FGF22;CGB2;INS-IGF2
GO:0030545	receptor regulator activity	http://amigo.geneontology.org/amigo/term/GO:0030545	362	29	8.950852099817407	3.2399150021249468	2.4980945201313887e-8	1.937272300361892e-5	116;265;268;970;1082;1392;1440;1489;2247;2657;3623;3958;4050;4902;4909;5967;8740;9048;9518;26281;27006;51293;53342;64806;94027;114336;151176;151449;723961	TNFSF14;AMH;INHA;REG1A;CRH;FGF2;CSF3;CGB3;LGALS3;ADCYAP1;GDF1;CD70;NTF4;LTB;CTF1;ARTN;GDF7;IL17D;AMELX;NRTN;GDF15;IL25;FGF20;CD320;CGB7;ERFE;FGF22;CGB2;INS-IGF2
GO:0043565	sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0043565	1075	54	26.58056908094948	2.0315592128801434	3.7176679090755727e-7	1.922034308992071e-4	430;596;861;864;1045;1628;1647;2018;2296;2303;2304;2626;2928;3195;3198;3211;4088;4094;4223;4582;4800;4901;5013;5015;5450;6666;6670;6671;6688;6908;6939;7392;9095;23493;23635;23648;26097;26508;51142;54626;55502;55897;57801;63948;64321;80712;83595;136259;140628;145258;170463;222894;256297;390992	FOXE1;SOX12;GSC2;TBX19;MAF;BCL2;HOXB1;MUC1;SPI1;TBP;NFYA;GADD45A;TLX1;OTX1;OTX2;GATA4;HOXA1;MEOX2;NRL;GSC;SMAD3;RUNX1;SP4;SP3;EMX2;DBP;TCF15;FOXC1;RUNX3;USF2;POU2AF1;PTF1A;ESX1;HES6;FERD3L;CDX2;ASCL2;FOXC2;MESP1;SOX7;SSBP3;GATA5;SOX17;HEYL;HEY2;CHTOP;CHCHD2;SSBP2;HES3;KLF14;DMRTB1;HES4;HES2;SSBP4
GO:0044212	transcription regulatory region DNA binding	http://amigo.geneontology.org/amigo/term/GO:0044212	879	45	21.734251369446135	2.070464688894723	2.4296713633242817e-6	6.286704081390443e-4	430;861;864;1045;1628;1647;2296;2303;2626;3195;3211;4088;4094;4223;4582;4800;4901;5013;5015;5450;6666;6670;6688;6908;6939;9095;23493;23635;23648;26508;54626;55502;55897;57801;64321;80237;80712;83595;128209;140628;145258;170463;222894;256297;390992	SOX12;TBX19;MAF;HOXB1;MUC1;SPI1;TBP;NFYA;GADD45A;TLX1;OTX1;OTX2;GATA4;MEOX2;NRL;GSC;SMAD3;RUNX1;SP3;DBP;TCF15;FOXC1;RUNX3;POU2AF1;PTF1A;ESX1;HES6;FERD3L;CDX2;ASCL2;FOXC2;MESP1;SOX7;SSBP3;GATA5;SOX17;ELL3;HEYL;HEY2;SSBP2;KLF17;HES3;HES4;HES2;SSBP4
GO:0000976	transcription regulatory region sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000976	767	41	18.96492696287279	2.161885467856785	2.4703987560048546e-6	6.286704081390443e-4	430;861;864;1045;1628;1647;2296;2303;2626;3195;3211;4088;4094;4223;4582;4800;4901;5013;5015;5450;6666;6670;6688;6908;6939;9095;23493;23635;23648;26508;54626;55502;55897;57801;80712;140628;145258;170463;222894;256297;390992	SOX12;TBX19;MAF;HOXB1;MUC1;SPI1;TBP;NFYA;GADD45A;TLX1;OTX1;OTX2;GATA4;MEOX2;NRL;GSC;SMAD3;RUNX1;SP3;DBP;TCF15;FOXC1;RUNX3;POU2AF1;PTF1A;ESX1;HES6;FERD3L;CDX2;ASCL2;FOXC2;MESP1;SSBP3;GATA5;HEYL;HEY2;SSBP2;HES3;HES4;HES2;SSBP4
GO:0001067	regulatory region nucleic acid binding	http://amigo.geneontology.org/amigo/term/GO:0001067	881	45	21.783703590992086	2.065764428534009	2.5812284372150884e-6	6.286704081390443e-4	430;861;864;1045;1628;1647;2296;2303;2626;3195;3211;4088;4094;4223;4582;4800;4901;5013;5015;5450;6666;6670;6688;6908;6939;9095;23493;23635;23648;26508;54626;55502;55897;57801;64321;80237;80712;83595;128209;140628;145258;170463;222894;256297;390992	SOX12;TBX19;MAF;HOXB1;MUC1;SPI1;TBP;NFYA;GADD45A;TLX1;OTX1;OTX2;GATA4;MEOX2;NRL;GSC;SMAD3;RUNX1;SP3;DBP;TCF15;FOXC1;RUNX3;POU2AF1;PTF1A;ESX1;HES6;FERD3L;CDX2;ASCL2;FOXC2;MESP1;SOX7;SSBP3;GATA5;SOX17;ELL3;HEYL;HEY2;SSBP2;KLF17;HES3;HES4;HES2;SSBP4
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000977	716	39	17.703895313451003	2.202905027932961	2.8373261489189616e-6	6.286704081390443e-4	430;861;864;1045;1628;1647;2296;2303;2626;3195;3211;4088;4094;4223;4582;4800;4901;5013;5015;5450;6670;6688;6908;6939;9095;23493;23635;23648;26508;54626;55502;55897;57801;80712;145258;170463;222894;256297;390992	TBX19;MAF;HOXB1;MUC1;SPI1;TBP;NFYA;GADD45A;TLX1;OTX1;OTX2;GATA4;MEOX2;NRL;GSC;SMAD3;RUNX1;SP3;DBP;TCF15;FOXC1;RUNX3;POU2AF1;PTF1A;ESX1;HES6;FERD3L;CDX2;ASCL2;FOXC2;MESP1;SSBP3;HEYL;HEY2;SSBP2;HES3;HES4;HES2;SSBP4
GO:0001012	RNA polymerase II regulatory region DNA binding	http://amigo.geneontology.org/amigo/term/GO:0001012	722	39	17.852251978088862	2.1845983379501384	3.4673740897384064e-6	6.652161599186579e-4	430;861;864;1045;1628;1647;2296;2303;2626;3195;3211;4088;4094;4223;4582;4800;4901;5013;5015;5450;6670;6688;6908;6939;9095;23493;23635;23648;26508;54626;55502;55897;57801;80712;145258;170463;222894;256297;390992	TBX19;MAF;HOXB1;MUC1;SPI1;TBP;NFYA;GADD45A;TLX1;OTX1;OTX2;GATA4;MEOX2;NRL;GSC;SMAD3;RUNX1;SP3;DBP;TCF15;FOXC1;RUNX3;POU2AF1;PTF1A;ESX1;HES6;FERD3L;CDX2;ASCL2;FOXC2;MESP1;SSBP3;HEYL;HEY2;SSBP2;HES3;HES4;HES2;SSBP4
GO:0008083	growth factor activity	http://amigo.geneontology.org/amigo/term/GO:0008083	148	15	3.6594643944004868	4.0989604989604995	3.8600550865686145e-6	6.652161599186579e-4	265;268;1440;2247;2657;3623;4902;4909;5967;9048;9518;26281;27006;51293;151449	AMH;INHA;REG1A;FGF2;CSF3;GDF1;NTF4;ARTN;GDF7;AMELX;NRTN;GDF15;FGF20;CD320;FGF22
GO:1990837	sequence-specific double-stranded DNA binding	http://amigo.geneontology.org/amigo/term/GO:1990837	805	41	19.90451917224589	2.0598337314859054	8.103494518074683e-6	0.0012568519997533834	430;861;864;1045;1628;1647;2296;2303;2626;3195;3211;4088;4094;4223;4582;4800;4901;5013;5015;5450;6666;6670;6688;6908;6939;9095;23493;23635;23648;26508;54626;55502;55897;57801;80712;140628;145258;170463;222894;256297;390992	SOX12;TBX19;MAF;HOXB1;MUC1;SPI1;TBP;NFYA;GADD45A;TLX1;OTX1;OTX2;GATA4;MEOX2;NRL;GSC;SMAD3;RUNX1;SP3;DBP;TCF15;FOXC1;RUNX3;POU2AF1;PTF1A;ESX1;HES6;FERD3L;CDX2;ASCL2;FOXC2;MESP1;SSBP3;GATA5;HEYL;HEY2;SSBP2;HES3;HES4;HES2;SSBP4
