userId	geneSymbol	geneName	entrezgene	gLink
RCCD1	RCCD1	RCC1 domain containing 1	91433	https://www.ncbi.nlm.nih.gov/gene/?term=91433
LIPT2	LIPT2	lipoyl(octanoyl) transferase 2	387787	https://www.ncbi.nlm.nih.gov/gene/?term=387787
NOTO	NOTO	notochord homeobox	344022	https://www.ncbi.nlm.nih.gov/gene/?term=344022
NME4	NME4	NME/NM23 nucleoside diphosphate kinase 4	4833	https://www.ncbi.nlm.nih.gov/gene/?term=4833
HSPB6	HSPB6	heat shock protein family B (small) member 6	126393	https://www.ncbi.nlm.nih.gov/gene/?term=126393
PTGES	PTGES	prostaglandin E synthase	9536	https://www.ncbi.nlm.nih.gov/gene/?term=9536
GSC2	GSC2	goosecoid homeobox 2	2928	https://www.ncbi.nlm.nih.gov/gene/?term=2928
TNFSF14	TNFSF14	TNF superfamily member 14	8740	https://www.ncbi.nlm.nih.gov/gene/?term=8740
EFNA2	EFNA2	ephrin A2	1943	https://www.ncbi.nlm.nih.gov/gene/?term=1943
SDC3	SDC3	syndecan 3	9672	https://www.ncbi.nlm.nih.gov/gene/?term=9672
SS18L1	SS18L1	SS18L1, nBAF chromatin remodeling complex subunit	26039	https://www.ncbi.nlm.nih.gov/gene/?term=26039
GADD45B	GADD45B	growth arrest and DNA damage inducible beta	4616	https://www.ncbi.nlm.nih.gov/gene/?term=4616
NME6	NME6	NME/NM23 nucleoside diphosphate kinase 6	10201	https://www.ncbi.nlm.nih.gov/gene/?term=10201
CREG1	CREG1	cellular repressor of E1A stimulated genes 1	8804	https://www.ncbi.nlm.nih.gov/gene/?term=8804
CTAG2	CTAG2	cancer/testis antigen 2	30848	https://www.ncbi.nlm.nih.gov/gene/?term=30848
CEACAM4	CEACAM4	carcinoembryonic antigen related cell adhesion molecule 4	1089	https://www.ncbi.nlm.nih.gov/gene/?term=1089
CCN5	CCN5	cellular communication network factor 5	8839	https://www.ncbi.nlm.nih.gov/gene/?term=8839
TNFRSF6B	TNFRSF6B	TNF receptor superfamily member 6b	8771	https://www.ncbi.nlm.nih.gov/gene/?term=8771
BAG4	BAG4	BCL2 associated athanogene 4	9530	https://www.ncbi.nlm.nih.gov/gene/?term=9530
GNAS	GNAS	GNAS complex locus	2778	https://www.ncbi.nlm.nih.gov/gene/?term=2778
EFEMP2	EFEMP2	EGF containing fibulin extracellular matrix protein 2	30008	https://www.ncbi.nlm.nih.gov/gene/?term=30008
AMH	AMH	anti-Mullerian hormone	268	https://www.ncbi.nlm.nih.gov/gene/?term=268
INHA	INHA	inhibin subunit alpha	3623	https://www.ncbi.nlm.nih.gov/gene/?term=3623
CRH	CRH	corticotropin releasing hormone	1392	https://www.ncbi.nlm.nih.gov/gene/?term=1392
THBD	THBD	thrombomodulin	7056	https://www.ncbi.nlm.nih.gov/gene/?term=7056
CTSG	CTSG	cathepsin G	1511	https://www.ncbi.nlm.nih.gov/gene/?term=1511
SNRPC	SNRPC	small nuclear ribonucleoprotein polypeptide C	6631	https://www.ncbi.nlm.nih.gov/gene/?term=6631
CD7	CD7	CD7 molecule	924	https://www.ncbi.nlm.nih.gov/gene/?term=924
CSF3	CSF3	colony stimulating factor 3	1440	https://www.ncbi.nlm.nih.gov/gene/?term=1440
CFC1	CFC1	cripto, FRL-1, cryptic family 1	55997	https://www.ncbi.nlm.nih.gov/gene/?term=55997
