geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043565	sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0043565	1075	193	100.27008520998173	1.9248013961075916	0	0	196;473;596;745;860;861;864;1045;1059;1387;1390;1602;1628;1961;2033;2063;2077;2116;2128;2290;2296;2301;2303;2304;2308;2354;2626;2627;2636;2649;2736;2737;3054;3096;3166;3169;3190;3195;3198;3211;3212;3235;3516;3975;4087;4088;4089;4091;4094;4209;4212;4223;4297;4303;4520;4582;4775;4776;4779;4791;4800;4802;4851;4899;5013;5077;5080;5081;5187;5450;5451;5453;5454;5455;5457;5966;5989;5991;5992;6257;6599;6601;6656;6658;6659;6666;6667;6670;6671;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;7020;7021;7022;7025;7026;7392;7528;7545;7546;7547;7552;7629;7702;7799;8022;8320;8863;8864;8928;9095;9096;9314;9480;9575;9603;9611;9612;9759;9935;9968;9988;10013;10014;10413;10499;10725;11023;11108;11176;22877;22887;23109;23125;23135;23211;23261;23381;23411;23493;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55502;55636;57659;63925;63946;63948;63950;63977;64061;64211;64321;64651;64864;64919;65057;80709;80712;83595;84969;85416;121536;121643;136259;140628;147912;170463;221037;221937;222546;253738;256297;339488;344191;100271849;100288687	FOXE1;MEIS2;KDM6B;PER2;TBX3;TBXT;SOX12;TOX3;CLOCK;PER1;KLF4;SMAD6;ZIC3;TBX19;NCOR1;MAF;FOXH1;DDN;NFAT5;CAMTA2;ZIC2;TBX18;EOMES;ONECUT2;TFAP2A;CENPB;SP1;GLI2;GLI3;BCL2;NR2F6;NR2F1;SRF;HOXB2;HOXB1;POU2F1;HIVEP1;TCF4;MUC1;SPI1;TBP;POU3F3;POU3F2;RFX1;NFYA;PAX7;PAX3;NR2F2;YY1;PAX6;HOXD9;RXRB;TLX1;OTX1;SOX18;AHR;ZNF76;RBMX;SOX3;STAT6;GATA4;NOTCH1;YAP1;RFX3;LHX1;HOXA1;EVX1;MEOX2;ERF;HCFC1;ZNF143;FOSB;FOXG1;FOXA1;HDAC4;PER3;PRDM15;HNRNPK;SMAD3;FOXK1;FOXO4;NFKB2;RUNX1;POU4F1;MEF2B;SP4;SP3;POU3F1;CREM;KMT2A;REL;EGR4;RBPJ;SOX4;EP300;DBP;FOXO1;FOXC1;NFATC3;PRDM2;TBX2;FOXE3;SMAD4;RUNX3;RUNX2;NFYC;NFE2L1;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;JMJD1C;SMAD2;USF2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;VAX1;AEBP2;PTF1A;AKNA;RFX6;DMRTC2;SIX5;ESX1;SMARCC2;TFAP2B;TFAP2C;CREBBP;GATA6;SMARCC1;MED12;ACD;SIRT1;HES6;TOX2;FOXN4;CSRNP1;DMRTA2;TCF12;TBX5;CDX2;FOXC2;SOX7;SSBP3;GATA5;BCL11B;BCL11A;LHX5;TSPYL2;EBF3;ZNF335;SOX17;MLXIP;MLXIPL;HEYL;ZBTB4;CHD7;MYEF2;RERE;ZNF219;HDAC6;HEY2;LHX3;DUX4;DACH1;BAZ2A;PRDM4;SMG5;ZC3H4;FOXJ3;HDAC5;DMTF1;MYRF;ZNF711;NFE2L3;MAFB;NCOR2;CAMTA1;ETV2;SOX1;SSBP2;EVX2;TFAP2E;KLF14;DMRTB1;ZIC5;HMX1;GBX1;SSBP4
GO:0001067	regulatory region nucleic acid binding	http://amigo.geneontology.org/amigo/term/GO:0001067	881	166	82.17483262325014	2.020083214054917	0	0	196;860;861;864;1045;1387;1390;1602;1628;1961;2033;2063;2116;2296;2303;2354;2626;2627;2649;2736;2737;3096;3166;3169;3190;3195;3211;3212;3235;3516;4087;4088;4089;4091;4094;4209;4212;4223;4297;4520;4582;4775;4776;4779;4791;4800;4802;4851;4899;5013;5080;5187;5450;5451;5454;5457;5934;5966;5989;5991;5992;6257;6599;6601;6656;6658;6659;6666;6667;6670;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;6942;7020;7021;7022;7025;7528;7545;7546;7547;7552;7702;7799;8022;8085;8320;8863;8864;8928;9095;9096;9314;9480;9575;9603;9611;9612;9759;9935;9968;9988;10013;10014;10413;10499;10725;11023;11108;11176;22877;23109;23135;23211;23300;23411;23493;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55502;55636;55809;57659;63925;63977;64321;64864;64919;80237;80709;80712;83595;84969;85416;121536;121643;128209;130557;140628;147912;170463;221037;221937;222546;253738;256297;283248;339488;100271849;100288687	KMT2D;MEIS2;KDM6B;PER2;TBX3;TBXT;SOX12;TOX3;CLOCK;PER1;ATMIN;KLF4;SMAD6;ZIC3;TBX19;NCOR1;MAF;FOXH1;DDN;NFAT5;ZIC2;TBX18;EOMES;ONECUT2;TFAP2A;SP1;GLI2;GLI3;NR2F6;NR2F1;SRF;HOXB2;HOXB1;POU2F1;HIVEP1;TCF4;MUC1;SPI1;TBP;POU3F2;RFX1;NFYA;YY1;PAX6;HOXD9;RXRB;TLX1;OTX1;SOX18;AHR;RBMX;SOX3;STAT6;GATA4;NOTCH1;YAP1;RFX3;MEOX2;ZNF143;FOSB;FOXA1;HDAC4;PER3;PRDM15;HNRNPK;SMAD3;FOXK1;NFKB2;RUNX1;POU4F1;MEF2B;SP3;CREM;KMT2A;REL;EGR4;RBPJ;SOX4;RBL2;EP300;DBP;FOXC1;NFATC3;PRDM2;TBX2;SMAD4;RUNX3;RUNX2;NFYC;NFE2L1;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;JMJD1C;SMAD2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;VAX1;AEBP2;PTF1A;AKNA;RFX6;SIX5;ESX1;ZNF513;SMARCC2;TFAP2B;TFAP2C;CREBBP;GATA6;SMARCC1;MED12;SIRT1;HES6;TOX2;FOXN4;TRERF1;TCF12;TBX5;CDX2;FOXC2;SOX7;SSBP3;GATA5;BCL11B;BCL11A;EBF3;ZNF335;SOX17;MLXIP;ELL3;MLXIPL;HEYL;ZBTB4;CHD7;MYEF2;ZNF219;HDAC6;HEY2;LHX3;DUX4;TCF20;DACH1;BAZ2A;PRDM4;ZC3H4;HDAC5;DMTF1;ZNF711;NFE2L3;MAFB;NCOR2;ETV2;SOX1;SSBP2;KLF17;TFAP2E;RCOR2;ZIC5;HMX1;SSBP4
GO:0044212	transcription regulatory region DNA binding	http://amigo.geneontology.org/amigo/term/GO:0044212	879	166	81.98828362751064	2.024679535361072	0	0	196;860;861;864;1045;1387;1390;1602;1628;1961;2033;2063;2116;2296;2303;2354;2626;2627;2649;2736;2737;3096;3166;3169;3190;3195;3211;3212;3235;3516;4087;4088;4089;4091;4094;4209;4212;4223;4297;4520;4582;4775;4776;4779;4791;4800;4802;4851;4899;5013;5080;5187;5450;5451;5454;5457;5934;5966;5989;5991;5992;6257;6599;6601;6656;6658;6659;6666;6667;6670;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;6942;7020;7021;7022;7025;7528;7545;7546;7547;7552;7702;7799;8022;8085;8320;8863;8864;8928;9095;9096;9314;9480;9575;9603;9611;9612;9759;9935;9968;9988;10013;10014;10413;10499;10725;11023;11108;11176;22877;23109;23135;23211;23300;23411;23493;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55502;55636;55809;57659;63925;63977;64321;64864;64919;80237;80709;80712;83595;84969;85416;121536;121643;128209;130557;140628;147912;170463;221037;221937;222546;253738;256297;283248;339488;100271849;100288687	KMT2D;MEIS2;KDM6B;PER2;TBX3;TBXT;SOX12;TOX3;CLOCK;PER1;ATMIN;KLF4;SMAD6;ZIC3;TBX19;NCOR1;MAF;FOXH1;DDN;NFAT5;ZIC2;TBX18;EOMES;ONECUT2;TFAP2A;SP1;GLI2;GLI3;NR2F6;NR2F1;SRF;HOXB2;HOXB1;POU2F1;HIVEP1;TCF4;MUC1;SPI1;TBP;POU3F2;RFX1;NFYA;YY1;PAX6;HOXD9;RXRB;TLX1;OTX1;SOX18;AHR;RBMX;SOX3;STAT6;GATA4;NOTCH1;YAP1;RFX3;MEOX2;ZNF143;FOSB;FOXA1;HDAC4;PER3;PRDM15;HNRNPK;SMAD3;FOXK1;NFKB2;RUNX1;POU4F1;MEF2B;SP3;CREM;KMT2A;REL;EGR4;RBPJ;SOX4;RBL2;EP300;DBP;FOXC1;NFATC3;PRDM2;TBX2;SMAD4;RUNX3;RUNX2;NFYC;NFE2L1;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;JMJD1C;SMAD2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;VAX1;AEBP2;PTF1A;AKNA;RFX6;SIX5;ESX1;ZNF513;SMARCC2;TFAP2B;TFAP2C;CREBBP;GATA6;SMARCC1;MED12;SIRT1;HES6;TOX2;FOXN4;TRERF1;TCF12;TBX5;CDX2;FOXC2;SOX7;SSBP3;GATA5;BCL11B;BCL11A;EBF3;ZNF335;SOX17;MLXIP;ELL3;MLXIPL;HEYL;ZBTB4;CHD7;MYEF2;ZNF219;HDAC6;HEY2;LHX3;DUX4;TCF20;DACH1;BAZ2A;PRDM4;ZC3H4;HDAC5;DMTF1;ZNF711;NFE2L3;MAFB;NCOR2;ETV2;SOX1;SSBP2;KLF17;TFAP2E;RCOR2;ZIC5;HMX1;SSBP4
GO:1990837	sequence-specific double-stranded DNA binding	http://amigo.geneontology.org/amigo/term/GO:1990837	805	154	75.08597078514912	2.050982339172991	0	0	196;860;861;864;1045;1059;1387;1390;1602;1628;1961;2033;2063;2116;2296;2303;2354;2626;2627;2649;2736;2737;3054;3096;3166;3190;3195;3211;3212;3235;3516;4087;4088;4089;4091;4094;4209;4212;4223;4297;4520;4582;4775;4776;4779;4791;4800;4802;4851;4899;5013;5080;5187;5450;5451;5454;5457;5966;5989;5991;5992;6257;6599;6601;6656;6658;6659;6666;6667;6670;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;7020;7021;7022;7025;7528;7545;7546;7547;7552;7702;7799;8022;8320;8863;8864;9095;9096;9314;9480;9575;9603;9759;9935;9968;9988;10013;10014;10413;10499;10725;11023;11108;11176;22877;23109;23135;23211;23411;23493;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55502;55636;57659;63925;63977;64061;64864;64919;80709;80712;84969;85416;121536;121643;140628;147912;170463;221037;221937;222546;253738;256297;339488;100271849;100288687	MEIS2;KDM6B;PER2;TBX3;TBXT;SOX12;TOX3;CLOCK;PER1;KLF4;SMAD6;ZIC3;TBX19;MAF;DDN;NFAT5;ZIC2;TBX18;EOMES;ONECUT2;TFAP2A;CENPB;SP1;GLI2;GLI3;NR2F6;NR2F1;SRF;HOXB2;HOXB1;POU2F1;HIVEP1;TCF4;MUC1;SPI1;TBP;POU3F2;RFX1;NFYA;YY1;PAX6;HOXD9;RXRB;TLX1;OTX1;SOX18;AHR;RBMX;SOX3;STAT6;GATA4;NOTCH1;YAP1;RFX3;MEOX2;HCFC1;ZNF143;FOSB;HDAC4;PER3;PRDM15;HNRNPK;SMAD3;FOXK1;NFKB2;RUNX1;POU4F1;MEF2B;SP3;CREM;KMT2A;REL;EGR4;RBPJ;SOX4;EP300;DBP;FOXC1;NFATC3;PRDM2;TBX2;SMAD4;RUNX3;RUNX2;NFYC;NFE2L1;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;JMJD1C;SMAD2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;VAX1;AEBP2;PTF1A;AKNA;RFX6;SIX5;ESX1;SMARCC2;TFAP2B;TFAP2C;CREBBP;GATA6;SMARCC1;MED12;SIRT1;HES6;TOX2;FOXN4;TCF12;TBX5;CDX2;FOXC2;SSBP3;GATA5;BCL11B;BCL11A;TSPYL2;EBF3;ZNF335;MLXIP;MLXIPL;HEYL;ZBTB4;CHD7;MYEF2;ZNF219;HDAC6;HEY2;LHX3;DUX4;DACH1;BAZ2A;PRDM4;ZC3H4;HDAC5;DMTF1;ZNF711;NFE2L3;MAFB;ETV2;SOX1;SSBP2;TFAP2E;ZIC5;HMX1;SSBP4
GO:0000976	transcription regulatory region sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000976	767	151	71.54153986609859	2.110661865576567	0	0	196;860;861;864;1045;1387;1390;1602;1628;1961;2033;2063;2116;2296;2303;2354;2626;2627;2649;2736;2737;3096;3166;3190;3195;3211;3212;3235;3516;4087;4088;4089;4091;4094;4209;4212;4223;4297;4520;4582;4775;4776;4779;4791;4800;4802;4851;4899;5013;5080;5187;5450;5451;5454;5457;5966;5989;5991;5992;6257;6599;6601;6656;6658;6659;6666;6667;6670;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;7020;7021;7022;7025;7528;7545;7546;7547;7552;7702;7799;8022;8320;8863;8864;9095;9096;9314;9480;9575;9603;9759;9935;9968;9988;10013;10014;10413;10499;10725;11023;11108;11176;22877;23109;23135;23211;23411;23493;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55502;55636;57659;63925;63977;64864;64919;80709;80712;84969;85416;121536;121643;140628;147912;170463;221037;221937;222546;253738;256297;339488;100271849;100288687	MEIS2;KDM6B;PER2;TBX3;TBXT;SOX12;TOX3;CLOCK;PER1;KLF4;SMAD6;ZIC3;TBX19;MAF;DDN;NFAT5;ZIC2;TBX18;EOMES;ONECUT2;TFAP2A;SP1;GLI2;GLI3;NR2F6;NR2F1;SRF;HOXB2;HOXB1;POU2F1;HIVEP1;TCF4;MUC1;SPI1;TBP;POU3F2;RFX1;NFYA;YY1;PAX6;HOXD9;RXRB;TLX1;OTX1;SOX18;AHR;RBMX;SOX3;STAT6;GATA4;NOTCH1;YAP1;RFX3;MEOX2;ZNF143;FOSB;HDAC4;PER3;PRDM15;HNRNPK;SMAD3;FOXK1;NFKB2;RUNX1;POU4F1;MEF2B;SP3;CREM;KMT2A;REL;EGR4;RBPJ;SOX4;EP300;DBP;FOXC1;NFATC3;PRDM2;TBX2;SMAD4;RUNX3;RUNX2;NFYC;NFE2L1;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;JMJD1C;SMAD2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;VAX1;AEBP2;PTF1A;AKNA;RFX6;SIX5;ESX1;SMARCC2;TFAP2B;TFAP2C;CREBBP;GATA6;SMARCC1;MED12;SIRT1;HES6;TOX2;FOXN4;TCF12;TBX5;CDX2;FOXC2;SSBP3;GATA5;BCL11B;BCL11A;EBF3;ZNF335;MLXIP;MLXIPL;HEYL;ZBTB4;CHD7;MYEF2;ZNF219;HDAC6;HEY2;LHX3;DUX4;DACH1;BAZ2A;PRDM4;ZC3H4;HDAC5;DMTF1;ZNF711;NFE2L3;MAFB;ETV2;SOX1;SSBP2;TFAP2E;ZIC5;HMX1;SSBP4
GO:0001012	RNA polymerase II regulatory region DNA binding	http://amigo.geneontology.org/amigo/term/GO:0001012	722	145	67.34418746195982	2.1531182640210043	0	0	196;860;861;864;1045;1390;1602;1628;1961;2033;2063;2116;2296;2303;2354;2626;2627;2649;2736;2737;3096;3166;3190;3195;3211;3212;3235;3516;4087;4088;4089;4091;4094;4209;4212;4223;4297;4520;4582;4775;4776;4779;4791;4800;4802;4851;4899;5013;5080;5187;5450;5451;5454;5457;5934;5966;5989;5991;5992;6257;6599;6601;6656;6658;6659;6667;6670;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;7020;7021;7022;7025;7528;7545;7546;7547;7552;7702;7799;8022;8320;9095;9314;9480;9575;9603;9611;9612;9759;9935;9968;9988;10013;10014;10413;10499;10725;11023;11108;22877;23109;23135;23211;23411;23493;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55502;55636;57659;63925;63977;64864;64919;80709;80712;84969;85416;121536;147912;170463;221937;222546;253738;256297;339488;100271849;100288687	MEIS2;KDM6B;TBX3;TBXT;TOX3;CLOCK;PER1;KLF4;SMAD6;ZIC3;TBX19;NCOR1;MAF;DDN;NFAT5;ZIC2;EOMES;ONECUT2;TFAP2A;SP1;GLI2;GLI3;NR2F6;NR2F1;SRF;HOXB2;HOXB1;POU2F1;HIVEP1;TCF4;MUC1;SPI1;TBP;POU3F2;RFX1;NFYA;YY1;PAX6;HOXD9;RXRB;TLX1;OTX1;SOX18;AHR;RBMX;SOX3;STAT6;GATA4;NOTCH1;YAP1;RFX3;MEOX2;ZNF143;FOSB;HDAC4;PRDM15;HNRNPK;SMAD3;FOXK1;NFKB2;RUNX1;POU4F1;MEF2B;SP3;CREM;KMT2A;REL;EGR4;RBPJ;SOX4;RBL2;EP300;DBP;FOXC1;NFATC3;PRDM2;TBX2;SMAD4;RUNX3;RUNX2;NFYC;NFE2L1;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;SMAD2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;VAX1;AEBP2;PTF1A;AKNA;RFX6;SIX5;ESX1;SMARCC2;TFAP2B;TFAP2C;GATA6;SMARCC1;MED12;SIRT1;HES6;TOX2;TCF12;TBX5;CDX2;FOXC2;SSBP3;BCL11B;BCL11A;EBF3;ZNF335;MLXIP;MLXIPL;HEYL;ZBTB4;CHD7;MYEF2;ZNF219;HDAC6;HEY2;LHX3;DUX4;DACH1;PRDM4;ZC3H4;HDAC5;DMTF1;ZNF711;NFE2L3;MAFB;NCOR2;ETV2;SOX1;SSBP2;TFAP2E;ZIC5;HMX1;SSBP4
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000977	716	142	66.78454047474132	2.1262405788912484	0	0	196;860;861;864;1045;1390;1602;1628;1961;2033;2063;2116;2296;2303;2354;2626;2627;2649;2736;2737;3096;3166;3190;3195;3211;3212;3235;3516;4087;4088;4089;4091;4094;4209;4212;4223;4297;4520;4582;4775;4776;4779;4791;4800;4802;4851;4899;5013;5080;5187;5450;5451;5454;5457;5966;5989;5991;5992;6257;6599;6601;6656;6658;6659;6667;6670;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;7020;7021;7022;7025;7528;7545;7546;7547;7552;7702;7799;8022;8320;9095;9314;9480;9575;9603;9759;9935;9968;9988;10013;10014;10413;10499;10725;11023;11108;22877;23109;23135;23211;23411;23493;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55502;55636;57659;63925;63977;64864;64919;80709;80712;84969;85416;121536;147912;170463;221937;222546;253738;256297;339488;100271849;100288687	MEIS2;KDM6B;TBX3;TBXT;TOX3;CLOCK;PER1;KLF4;SMAD6;ZIC3;TBX19;MAF;DDN;NFAT5;ZIC2;EOMES;ONECUT2;TFAP2A;SP1;GLI2;GLI3;NR2F6;NR2F1;SRF;HOXB2;HOXB1;POU2F1;HIVEP1;TCF4;MUC1;SPI1;TBP;POU3F2;RFX1;NFYA;YY1;PAX6;HOXD9;RXRB;TLX1;OTX1;SOX18;AHR;RBMX;SOX3;STAT6;GATA4;NOTCH1;YAP1;RFX3;MEOX2;ZNF143;FOSB;HDAC4;PRDM15;HNRNPK;SMAD3;FOXK1;NFKB2;RUNX1;POU4F1;MEF2B;SP3;CREM;KMT2A;REL;EGR4;RBPJ;SOX4;EP300;DBP;FOXC1;NFATC3;PRDM2;TBX2;SMAD4;RUNX3;RUNX2;NFYC;NFE2L1;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;SMAD2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;VAX1;AEBP2;PTF1A;AKNA;RFX6;SIX5;ESX1;SMARCC2;TFAP2B;TFAP2C;GATA6;SMARCC1;MED12;SIRT1;HES6;TOX2;TCF12;TBX5;CDX2;FOXC2;SSBP3;BCL11B;BCL11A;EBF3;ZNF335;MLXIP;MLXIPL;HEYL;ZBTB4;CHD7;MYEF2;ZNF219;HDAC6;HEY2;LHX3;DUX4;DACH1;PRDM4;ZC3H4;HDAC5;DMTF1;ZNF711;NFE2L3;MAFB;ETV2;SOX1;SSBP2;TFAP2E;ZIC5;HMX1;SSBP4
GO:0005509	calcium ion binding	http://amigo.geneontology.org/amigo/term/GO:0005509	608	124	56.710894704808275	2.1865287198420194	0	0	101;310;311;410;444;1013;1014;1463;1828;1829;1834;1953;1954;2161;2192;2195;2196;2201;2312;3270;3339;3714;4038;4052;4053;4054;4811;4851;4853;4854;4855;5098;5100;6403;6442;6469;7056;7058;7060;7173;7369;8029;8425;8641;8642;8785;8904;8938;9478;9600;9693;9708;9727;10516;10683;11093;22795;22918;23166;23245;23499;25992;26167;27328;27445;30008;49860;53841;54567;54798;54825;56097;56098;56099;56100;56101;56102;56104;56107;56108;56109;56111;56113;56114;56121;56122;56123;56124;56125;56126;56127;56128;56129;56130;56131;56132;56133;56134;57124;57451;57493;57717;64072;64403;64881;65217;79633;79825;83259;84206;84467;89766;92737;120114;129804;147409;147968;220001;283229;286204;375790;388697;388698;389118	AGRN;PITPNM1;NCAN;CUBN;LRP4;ASTN2;RAB11FIP3;CDH16;BAIAP3;PCDH8;MATN4;EFEMP2;F12;TPO;THBD;UMOD;NID1;ARSA;SELP;ANXA7;FLG;FBLN1;HRC;THBS2;THBS4;FBN2;NOTCH1;ANXA11;CDH15;ADAM8;HSPG2;DSG1;NOTCH2;ASPH;NID2;DSG2;FAT1;LTBP1;LTBP2;SHH;SGCA;FLG2;UMODL1;CRB2;FAT4;MEX3B;FBN3;ADAMTS13;MEGF8;DSG4;CDH24;HRNR;LTBP4;CRACR2B;DNER;FAT3;SNED1;VWCE;DCHS1;PCDH15;NOTCH4;CPNE1;CDHR2;PCDH11X;PCDH11Y;CDH23;CDHR5;CD248;CD93;DLL4;PCDHB16;LTBP3;TENM2;STAB1;DLL3;FAT2;CABP1;DSPP;CRNN;FBLN5;HEG1;NOTCH3;JAG2;RAPGEF2;PCDHB6;PCDHB14;PCDHB12;PCLO;MEGF6;MACF1;FBLN7;DCHS2;PCDHB8;PCDHB10;PCDHGC3;PCDHGB4;PCDHB9;PCDHB7;PCDHB5;PCDHB4;PCDHB3;PCDHB2;PCDHB15;PCDHB13;PCDHB11;PCDHGC5;PCDHGC4;PCDHGB7;PCDHGB6;PCDHGB5;PCDHGB3;PCDHGB1;PCDHGA9;PCDHGA8;PCDHGA7;PCDHGA6;PCDHGA4;PCDHGA2;PCDHGA1;PCDHAC2;CDHR4;CAPN12;PCDH20;EFCC1
GO:0000987	proximal promoter sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000987	515	112	48.03636640292148	2.3315668604190756	0	0	196;860;861;1387;1602;2033;2116;2303;2354;2626;2627;2649;2736;2737;3190;3195;3211;3212;3516;4087;4088;4089;4091;4094;4209;4212;4223;4520;4582;4775;4776;4791;4800;4802;4851;4899;5013;5080;5187;5450;5451;5454;5989;5991;5992;6599;6601;6656;6659;6667;6670;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;7020;7021;7022;7025;7528;7545;7547;7702;8022;9095;9314;9480;9575;9603;9759;9935;9988;10013;10014;10413;10499;10725;11108;23109;23135;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55636;63925;63977;64864;64919;80709;84969;121536;147912;170463;222546;253738;256297;339488;100271849;100288687	MEIS2;KDM6B;TBX3;TBXT;TOX3;CLOCK;PER1;KLF4;SMAD6;ZIC3;TBX19;MAF;DDN;NFAT5;ONECUT2;TFAP2A;SP1;GLI2;GLI3;NR2F1;SRF;HOXB2;HOXB1;POU2F1;TCF4;MUC1;SPI1;TBP;POU3F2;RFX1;NFYA;YY1;PAX6;TLX1;OTX1;SOX18;AHR;RBMX;STAT6;GATA4;NOTCH1;YAP1;RFX3;MEOX2;ZNF143;FOSB;HDAC4;PRDM15;HNRNPK;SMAD3;NFKB2;RUNX1;MEF2B;SP3;RBPJ;SOX4;EP300;NFATC3;TBX2;SMAD4;RUNX2;NFYC;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;SMAD2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;AEBP2;PTF1A;AKNA;RFX6;SIX5;SMARCC2;TFAP2B;TFAP2C;CREBBP;GATA6;SMARCC1;TOX2;TCF12;TBX5;FOXC2;SSBP3;BCL11B;BCL11A;EBF3;ZNF335;MLXIPL;HEYL;CHD7;MYEF2;ZNF219;HDAC6;LHX3;DUX4;DACH1;PRDM4;HDAC5;DMTF1;NFE2L3;MAFB;ETV2;SOX1;SSBP2;TFAP2E;SSBP4
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000978	498	111	46.450699939135724	2.3896302993376444	0	0	196;860;861;1602;2033;2116;2303;2354;2626;2627;2649;2736;2737;3190;3195;3211;3212;3516;4087;4088;4089;4091;4094;4209;4212;4223;4520;4582;4775;4776;4791;4800;4802;4851;4899;5013;5080;5187;5450;5451;5454;5989;5991;5992;6599;6601;6656;6659;6667;6670;6688;6722;6778;6862;6908;6909;6910;6925;6926;6938;7020;7021;7022;7025;7528;7545;7547;7702;8022;9095;9314;9480;9575;9603;9759;9935;9988;10013;10014;10413;10499;10725;11108;23109;23135;23635;23648;26508;27316;27324;50804;51085;51222;53335;54345;55636;63925;63977;64864;64919;80709;84969;121536;147912;170463;222546;253738;256297;339488;100271849;100288687	MEIS2;KDM6B;TBX3;TBXT;TOX3;CLOCK;PER1;KLF4;SMAD6;ZIC3;TBX19;MAF;DDN;NFAT5;ONECUT2;TFAP2A;SP1;GLI2;GLI3;NR2F1;SRF;HOXB2;HOXB1;POU2F1;TCF4;MUC1;SPI1;TBP;POU3F2;RFX1;NFYA;YY1;PAX6;TLX1;OTX1;SOX18;AHR;RBMX;STAT6;GATA4;NOTCH1;YAP1;RFX3;MEOX2;ZNF143;FOSB;HDAC4;PRDM15;HNRNPK;SMAD3;NFKB2;RUNX1;MEF2B;SP3;RBPJ;SOX4;EP300;NFATC3;TBX2;SMAD4;RUNX2;NFYC;MEF2D;MTF1;NFATC4;NR6A1;NCOA2;SMAD2;ZIC1;POU2AF1;NRF1;RFX7;RFX4;AEBP2;PTF1A;AKNA;RFX6;SIX5;SMARCC2;TFAP2B;TFAP2C;GATA6;SMARCC1;TOX2;TCF12;TBX5;FOXC2;SSBP3;BCL11B;BCL11A;EBF3;ZNF335;MLXIPL;HEYL;CHD7;MYEF2;ZNF219;HDAC6;LHX3;DUX4;DACH1;PRDM4;HDAC5;DMTF1;NFE2L3;MAFB;ETV2;SOX1;SSBP2;TFAP2E;SSBP4
