geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0044212	transcription regulatory region DNA binding	http://amigo.geneontology.org/amigo/term/GO:0044212	879	28	7.48995739500913	3.738339021615472	7.305913651833862e-10	3.53991861323788e-7	1045;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;23493;23635;23648;26508;27316;27324;54345;55502;83595;84969;121643;128209;140628;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;SOX3;GATA4;FOSB;SP3;NFYC;POU2AF1;PTF1A;GATA6;HES6;TOX2;FOXN4;CDX2;SOX7;SSBP3;GATA5;HEYL;HEY2;DUX4;SOX1;SSBP2;KLF17;HMX1;SSBP4
GO:0001067	regulatory region nucleic acid binding	http://amigo.geneontology.org/amigo/term/GO:0001067	881	28	7.506999391357273	3.7298524404086266	7.692093628719476e-10	3.53991861323788e-7	1045;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;23493;23635;23648;26508;27316;27324;54345;55502;83595;84969;121643;128209;140628;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;SOX3;GATA4;FOSB;SP3;NFYC;POU2AF1;PTF1A;GATA6;HES6;TOX2;FOXN4;CDX2;SOX7;SSBP3;GATA5;HEYL;HEY2;DUX4;SOX1;SSBP2;KLF17;HMX1;SSBP4
GO:0043565	sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0043565	1075	31	9.160073037127207	3.384252491694352	8.221276992514959e-10	3.53991861323788e-7	1045;2301;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;23493;23635;23648;26508;27316;27324;54345;55502;63946;63948;83595;84969;121643;136259;140628;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;SOX3;GATA4;FOSB;SP3;FOXE3;NFYC;POU2AF1;PTF1A;DMRTC2;GATA6;HES6;TOX2;FOXN4;CDX2;SOX7;SSBP3;GATA5;HEYL;HEY2;DUX4;SOX1;SSBP2;KLF14;DMRTB1;HMX1;SSBP4
GO:0000976	transcription regulatory region sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000976	767	26	6.535605599513086	3.9782082324455206	9.129383915507105e-10	3.53991861323788e-7	1045;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;23493;23635;23648;26508;27316;27324;54345;55502;84969;121643;140628;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;SOX3;GATA4;FOSB;SP3;NFYC;POU2AF1;PTF1A;GATA6;HES6;TOX2;FOXN4;CDX2;SSBP3;GATA5;HEYL;HEY2;DUX4;SOX1;SSBP2;HMX1;SSBP4
GO:1990837	sequence-specific double-stranded DNA binding	http://amigo.geneontology.org/amigo/term/GO:1990837	805	26	6.859403530127815	3.790417036379769	2.5444983897671136e-9	7.893034005057587e-7	1045;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;23493;23635;23648;26508;27316;27324;54345;55502;84969;121643;140628;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;SOX3;GATA4;FOSB;SP3;NFYC;POU2AF1;PTF1A;GATA6;HES6;TOX2;FOXN4;CDX2;SSBP3;GATA5;HEYL;HEY2;DUX4;SOX1;SSBP2;HMX1;SSBP4
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000977	716	24	6.101034692635423	3.9337589784517157	5.741341624343477e-9	1.4841368098927887e-6	1045;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;23493;23635;23648;26508;27316;27324;54345;55502;84969;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;SOX3;GATA4;FOSB;SP3;NFYC;POU2AF1;PTF1A;GATA6;HES6;TOX2;CDX2;SSBP3;HEYL;HEY2;DUX4;SOX1;SSBP2;HMX1;SSBP4
GO:0001012	RNA polymerase II regulatory region DNA binding	http://amigo.geneontology.org/amigo/term/GO:0001012	722	24	6.152160681679853	3.9010684606252477	6.758446802201945e-9	1.4974787128878882e-6	1045;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;23493;23635;23648;26508;27316;27324;54345;55502;84969;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;SOX3;GATA4;FOSB;SP3;NFYC;POU2AF1;PTF1A;GATA6;HES6;TOX2;CDX2;SSBP3;HEYL;HEY2;DUX4;SOX1;SSBP2;HMX1;SSBP4
GO:0003690	double-stranded DNA binding	http://amigo.geneontology.org/amigo/term/GO:0003690	885	26	7.54108338405356	3.4477804681194515	1.8186287698007675e-8	3.525866527451238e-6	1045;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;23493;23635;23648;26508;27316;27324;54345;55502;84969;121643;140628;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;SOX3;GATA4;FOSB;SP3;NFYC;POU2AF1;PTF1A;GATA6;HES6;TOX2;FOXN4;CDX2;SSBP3;GATA5;HEYL;HEY2;DUX4;SOX1;SSBP2;HMX1;SSBP4
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0000978	498	19	4.243457090687766	4.477481353987378	3.7152440901522255e-8	5.915930496780408e-6	2354;2626;2627;3195;4800;4802;5450;6656;6670;23635;23648;26508;27316;27324;54345;84969;170463;256297;100288687	TOX3;NFYA;TLX1;SOX18;RBMX;GATA4;FOSB;SP3;NFYC;POU2AF1;PTF1A;GATA6;TOX2;SSBP3;HEYL;DUX4;SOX1;SSBP2;SSBP4
GO:0140110	transcription regulator activity	http://amigo.geneontology.org/amigo/term/GO:0140110	1961	40	16.70967741935484	2.3938223938223935	3.814268534352294e-8	5.915930496780408e-6	1045;2301;2354;2626;2627;3166;3195;4800;4802;5450;6656;6658;6670;6760;9760;23493;23543;23635;23648;26039;26508;27324;51132;54345;55502;63946;63948;83595;84327;84969;121643;126374;128209;136259;140628;170463;245806;256297;344022;100288687	WTIP;NOTO;TOX3;RBFOX2;SS18L1;TOX;NFYA;TLX1;SOX18;SOX3;GATA4;FOSB;SP3;FOXE3;NFYC;SS18;POU2AF1;PTF1A;DMRTC2;GATA6;HES6;ZBED3;TOX2;FOXN4;CDX2;SOX7;SSBP3;GATA5;HEYL;RLIM;HEY2;DUX4;SOX1;SSBP2;KLF17;VGLL2;KLF14;DMRTB1;HMX1;SSBP4
