userId	geneSymbol	geneName	entrezgene	gLink
FAM168B	FAM168B	family with sequence similarity 168 member B	130074	https://www.ncbi.nlm.nih.gov/gene/?term=130074
MBLAC1	MBLAC1	metallo-beta-lactamase domain containing 1	255374	https://www.ncbi.nlm.nih.gov/gene/?term=255374
RBMY1B	RBMY1B	RNA binding motif protein, Y-linked, family 1, member B	378948	https://www.ncbi.nlm.nih.gov/gene/?term=378948
RCCD1	RCCD1	RCC1 domain containing 1	91433	https://www.ncbi.nlm.nih.gov/gene/?term=91433
LIPT2	LIPT2	lipoyl(octanoyl) transferase 2	387787	https://www.ncbi.nlm.nih.gov/gene/?term=387787
NOTO	NOTO	notochord homeobox	344022	https://www.ncbi.nlm.nih.gov/gene/?term=344022
FOXE1	FOXE1	forkhead box E1	2304	https://www.ncbi.nlm.nih.gov/gene/?term=2304
NME4	NME4	NME/NM23 nucleoside diphosphate kinase 4	4833	https://www.ncbi.nlm.nih.gov/gene/?term=4833
HSPB6	HSPB6	heat shock protein family B (small) member 6	126393	https://www.ncbi.nlm.nih.gov/gene/?term=126393
NDUFAB1	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	4706	https://www.ncbi.nlm.nih.gov/gene/?term=4706
PRRG2	PRRG2	proline rich and Gla domain 2	5639	https://www.ncbi.nlm.nih.gov/gene/?term=5639
PTGES	PTGES	prostaglandin E synthase	9536	https://www.ncbi.nlm.nih.gov/gene/?term=9536
TNFRSF10C	TNFRSF10C	TNF receptor superfamily member 10c	8794	https://www.ncbi.nlm.nih.gov/gene/?term=8794
LDLRAD4	LDLRAD4	low density lipoprotein receptor class A domain containing 4	753	https://www.ncbi.nlm.nih.gov/gene/?term=753
SOX12	SOX12	SRY-box 12	6666	https://www.ncbi.nlm.nih.gov/gene/?term=6666
GSC2	GSC2	goosecoid homeobox 2	2928	https://www.ncbi.nlm.nih.gov/gene/?term=2928
SOCS1	SOCS1	suppressor of cytokine signaling 1	8651	https://www.ncbi.nlm.nih.gov/gene/?term=8651
BCL2L11	BCL2L11	BCL2 like 11	10018	https://www.ncbi.nlm.nih.gov/gene/?term=10018
