Taxon	UniProt proteome ID	NCBI taxon ID	Total sequences in proteome
Bacillus phage BtCS33	UP000006047	1194641	57
Bacillus phage vB_BtS_BMBtp14	UP000221937	1868826	75
Bacillus phage v_B-Bak1	UP000263904	2094735	120
Bacillus virus IEBH	UP000002340	552525	86
Bacillus phage vB_BmeM-Goe8	UP000317800	2593638	227
Bacillus phage BCP8-2	UP000033014	1129192	220
Bacillus phage Bp8p-C	UP000030232	1445810	211
Bacillus phage AP631	UP000271896	2483609	56
Bacillus phage Phireball	UP000319231	2589664	297
Bacillus phage phiCM3	UP000202492	1357713	56
Bacillus phage vB_BceS_KLEB30-3S	UP000500714	2719180	58
Bacillus phage 031MP002	UP000326021	2601656	87
Bacillus phage Tavor_SA	UP000224684	1983581	61
Bacillus phage Moonbeam	UP000030207	1540091	231
Bacillus phage Mgbh1	UP000224134	1796993	80
Bacillus phage vB_BpsM-61	UP000281964	2419620	75
Bacillus phage BSP10	UP000241565	2069312	236
Bacillus phage PBP180	UP000294353	2558359	40
Bacillus phage 1_ICo-2020	UP000515915	2759272	75
Bacillus phage Gemini	UP000011288	1273743	78
Bacillus phage SPP1	UP000002559	10724	97
Bacillus phage Deep Blue	UP000201785	1792245	226
Bacillus phage Silence	UP000222959	1675599	66
Bacillus phage Hoody T	UP000026905	1486660	270
Bacillus phage vB_BboS-125	UP000275028	2419618	80
Bacillus virus SPO1	UP000001590	10685	204
Bacillus phage Spock	UP000017657	1406791	280
Bacillus virus Andromeda	UP000011289	1273739	78
Bacillus phage Leo2	UP000223773	1815973	74
Bacillus phage vB_BtS_BMBtp16	UP000225732	1701848	47
Bacillus phage PBC4	UP000224963	1675028	123
Bacillus phage Phrodo	UP000201304	1805953	285
Bacillus phage Kida	UP000203491	1873998	302
Bacillus phage vB_BtS_BMBtp15	UP000221605	1868827	47
Bacillus phage pW4	UP000288674	2500560	106
Bacillus phage TP21-L	UP000001524	565140	56
Bacillus phage MG-B1	UP000012167	1309583	42
Bacillus phage Deep-Purple	UP000225583	1873341	40
Bacillus phage phi105	UP000008338	10717	51
Bacillus phage 000TH010	UP000325623	2601652	90
Bacillus phage vB_Bacillus_1020A	UP000516547	2723960	85
Bacillus phage BMBtp1	UP000223243	1735561	58
Bacillus phage BCP01	UP000280352	2059878	224
Bacillus phage Negev_SA	UP000226363	1983579	57
Bacillus phage PfIS075	UP000221139	1868600	81
Bacillus phage DK3	UP000290280	2500810	46
Bacillus phage BSP9	UP000277520	2041339	228
Bacillus phage B4	UP000006099	1141133	277
Bacillus phage vB_BpsS-140	UP000285363	2419621	66
Bacillus phage SP8	UP000596109	2770327	209
Bacillus phage Riggi	UP000017652	2884426	78
Bacillus phage P59	UP000653557	2723893	228
Bacillus phage Mater	UP000030206	1540090	222
Bacillus phage Carmel_SA	UP000223221	1983578	56
Bacillus phage Stahl	UP000033015	1610832	110
Bacillus phage W.Ph.	UP000005445	764595	274
Bacillus phage Tomato	UP000510728	2703960	200
Bacillus phage CAM003	UP000026902	1486657	287
Bacillus phage Shanette	UP000015093	1296656	220
Bacillus phage vB_BhaS-171	UP000204592	1775140	66
Bacillus phage Bobb	UP000028664	1527469	243
Bacillus phage BCP12	UP000246806	1913122	229
Bacillus phage PfNC7401	UP000222484	1868601	80
Bacillus phage PM1	UP000011861	547228	86
Bacillus phage PBC1	UP000002873	1161901	50
Bacillus phage Shbh1	UP000201588	1796992	177
Bacillus virus BMBtp2	UP000001215	1236573	53
Bacillus phage Bolokhovo	UP000514444	2743970	80
Bacillus phage phiAGATE	UP000010364	1204533	204
Bacillus phage BalMu-1	UP000204107	1567487	56
Bacillus phage SalinJah	UP000203219	1837830	290
Bacillus phage Troll	UP000015546	1382932	289
Bacillus phage BSP7	UP000326093	2301661	70
Bacillus phage Kioshi	UP000263214	2301685	243
