userId	geneSymbol	geneName	entrezgene	gLink
RCCD1	RCCD1	RCC1 domain containing 1	91433	https://www.ncbi.nlm.nih.gov/gene/?term=91433
WTIP	WTIP	WT1 interacting protein	126374	https://www.ncbi.nlm.nih.gov/gene/?term=126374
LIPT2	LIPT2	lipoyl(octanoyl) transferase 2	387787	https://www.ncbi.nlm.nih.gov/gene/?term=387787
NOTO	NOTO	notochord homeobox	344022	https://www.ncbi.nlm.nih.gov/gene/?term=344022
TOX3	TOX3	TOX high mobility group box family member 3	27324	https://www.ncbi.nlm.nih.gov/gene/?term=27324
RBFOX2	RBFOX2	RNA binding fox-1 homolog 2	23543	https://www.ncbi.nlm.nih.gov/gene/?term=23543
HTRA2	HTRA2	HtrA serine peptidase 2	27429	https://www.ncbi.nlm.nih.gov/gene/?term=27429
B4GALT3	B4GALT3	beta-1,4-galactosyltransferase 3	8703	https://www.ncbi.nlm.nih.gov/gene/?term=8703
SDC3	SDC3	syndecan 3	9672	https://www.ncbi.nlm.nih.gov/gene/?term=9672
SS18L1	SS18L1	SS18L1, nBAF chromatin remodeling complex subunit	26039	https://www.ncbi.nlm.nih.gov/gene/?term=26039
CEACAM4	CEACAM4	carcinoembryonic antigen related cell adhesion molecule 4	1089	https://www.ncbi.nlm.nih.gov/gene/?term=1089
TOX	TOX	thymocyte selection associated high mobility group box	9760	https://www.ncbi.nlm.nih.gov/gene/?term=9760
TNFRSF6B	TNFRSF6B	TNF receptor superfamily member 6b	8771	https://www.ncbi.nlm.nih.gov/gene/?term=8771
BAG4	BAG4	BCL2 associated athanogene 4	9530	https://www.ncbi.nlm.nih.gov/gene/?term=9530
GNAS	GNAS	GNAS complex locus	2778	https://www.ncbi.nlm.nih.gov/gene/?term=2778
EFEMP2	EFEMP2	EGF containing fibulin extracellular matrix protein 2	30008	https://www.ncbi.nlm.nih.gov/gene/?term=30008
AMH	AMH	anti-Mullerian hormone	268	https://www.ncbi.nlm.nih.gov/gene/?term=268
INHA	INHA	inhibin subunit alpha	3623	https://www.ncbi.nlm.nih.gov/gene/?term=3623
THBD	THBD	thrombomodulin	7056	https://www.ncbi.nlm.nih.gov/gene/?term=7056
CTSG	CTSG	cathepsin G	1511	https://www.ncbi.nlm.nih.gov/gene/?term=1511
LPA	LPA	lipoprotein(a)	4018	https://www.ncbi.nlm.nih.gov/gene/?term=4018
CD7	CD7	CD7 molecule	924	https://www.ncbi.nlm.nih.gov/gene/?term=924
PGA4	PGA4	pepsinogen 4, group I (pepsinogen A)	643847	https://www.ncbi.nlm.nih.gov/gene/?term=643847
PGA3	PGA3	pepsinogen 3, group I (pepsinogen A)	643834	https://www.ncbi.nlm.nih.gov/gene/?term=643834
PGA5	PGA5	pepsinogen 5, group I (pepsinogen A)	5222	https://www.ncbi.nlm.nih.gov/gene/?term=5222
ARSA	ARSA	arylsulfatase A	410	https://www.ncbi.nlm.nih.gov/gene/?term=410
PGC	PGC	progastricsin	5225	https://www.ncbi.nlm.nih.gov/gene/?term=5225
NFYA	NFYA	nuclear transcription factor Y subunit alpha	4800	https://www.ncbi.nlm.nih.gov/gene/?term=4800
ZFP36	ZFP36	ZFP36 ring finger protein	7538	https://www.ncbi.nlm.nih.gov/gene/?term=7538
TLX1	TLX1	T cell leukemia homeobox 1	3195	https://www.ncbi.nlm.nih.gov/gene/?term=3195
ICAM3	ICAM3	intercellular adhesion molecule 3	3385	https://www.ncbi.nlm.nih.gov/gene/?term=3385
SOX18	SOX18	SRY-box 18	54345	https://www.ncbi.nlm.nih.gov/gene/?term=54345
RBMX	RBMX	RNA binding motif protein X-linked	27316	https://www.ncbi.nlm.nih.gov/gene/?term=27316
VHL	VHL	von Hippel-Lindau tumor suppressor	7428	https://www.ncbi.nlm.nih.gov/gene/?term=7428
SOX3	SOX3	SRY-box 3	6658	https://www.ncbi.nlm.nih.gov/gene/?term=6658
GATA4	GATA4	GATA binding protein 4	2626	https://www.ncbi.nlm.nih.gov/gene/?term=2626
CDKN1C	CDKN1C	cyclin dependent kinase inhibitor 1C	1028	https://www.ncbi.nlm.nih.gov/gene/?term=1028
FOSB	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	2354	https://www.ncbi.nlm.nih.gov/gene/?term=2354
PRR20C	PRR20C	proline rich 20C	729240	https://www.ncbi.nlm.nih.gov/gene/?term=729240
PRR20D	PRR20D	proline rich 20D	729246	https://www.ncbi.nlm.nih.gov/gene/?term=729246
SP3	SP3	Sp3 transcription factor	6670	https://www.ncbi.nlm.nih.gov/gene/?term=6670
RASSF7	RASSF7	Ras association domain family member 7	8045	https://www.ncbi.nlm.nih.gov/gene/?term=8045
LOXL1	LOXL1	lysyl oxidase like 1	4016	https://www.ncbi.nlm.nih.gov/gene/?term=4016
DAZ2	DAZ2	deleted in azoospermia 2	57055	https://www.ncbi.nlm.nih.gov/gene/?term=57055
FOXE3	FOXE3	forkhead box E3	2301	https://www.ncbi.nlm.nih.gov/gene/?term=2301
TPBG	TPBG	trophoblast glycoprotein	7162	https://www.ncbi.nlm.nih.gov/gene/?term=7162
NFYC	NFYC	nuclear transcription factor Y subunit gamma	4802	https://www.ncbi.nlm.nih.gov/gene/?term=4802
HERPUD1	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	9709	https://www.ncbi.nlm.nih.gov/gene/?term=9709
SS18	SS18	SS18, nBAF chromatin remodeling complex subunit	6760	https://www.ncbi.nlm.nih.gov/gene/?term=6760
SGCA	SGCA	sarcoglycan alpha	6442	https://www.ncbi.nlm.nih.gov/gene/?term=6442
POU2AF1	POU2AF1	POU class 2 associating factor 1	5450	https://www.ncbi.nlm.nih.gov/gene/?term=5450
CA9	CA9	carbonic anhydrase 9	768	https://www.ncbi.nlm.nih.gov/gene/?term=768
