userId	geneSymbol	geneName	entrezgene	gLink
SIK1B	SIK1B	salt inducible kinase 1B (putative)	102724428	https://www.ncbi.nlm.nih.gov/gene/?term=102724428
PXDNL	PXDNL	peroxidasin like	137902	https://www.ncbi.nlm.nih.gov/gene/?term=137902
SSC5D	SSC5D	scavenger receptor cysteine rich family member with 5 domains	284297	https://www.ncbi.nlm.nih.gov/gene/?term=284297
ZC3H12D	ZC3H12D	zinc finger CCCH-type containing 12D	340152	https://www.ncbi.nlm.nih.gov/gene/?term=340152
TMEM131L	TMEM131L	transmembrane 131 like	23240	https://www.ncbi.nlm.nih.gov/gene/?term=23240
LAMB4	LAMB4	laminin subunit beta 4	22798	https://www.ncbi.nlm.nih.gov/gene/?term=22798
MBLAC1	MBLAC1	metallo-beta-lactamase domain containing 1	255374	https://www.ncbi.nlm.nih.gov/gene/?term=255374
MEGF11	MEGF11	multiple EGF like domains 11	84465	https://www.ncbi.nlm.nih.gov/gene/?term=84465
CCDC88B	CCDC88B	coiled-coil domain containing 88B	283234	https://www.ncbi.nlm.nih.gov/gene/?term=283234
RBMY1B	RBMY1B	RNA binding motif protein, Y-linked, family 1, member B	378948	https://www.ncbi.nlm.nih.gov/gene/?term=378948
RCCD1	RCCD1	RCC1 domain containing 1	91433	https://www.ncbi.nlm.nih.gov/gene/?term=91433
WTIP	WTIP	WT1 interacting protein	126374	https://www.ncbi.nlm.nih.gov/gene/?term=126374
LIPT2	LIPT2	lipoyl(octanoyl) transferase 2	387787	https://www.ncbi.nlm.nih.gov/gene/?term=387787
RASSF10	RASSF10	Ras association domain family member 10	644943	https://www.ncbi.nlm.nih.gov/gene/?term=644943
SHISA7	SHISA7	shisa family member 7	729956	https://www.ncbi.nlm.nih.gov/gene/?term=729956
ZSWIM8	ZSWIM8	zinc finger SWIM-type containing 8	23053	https://www.ncbi.nlm.nih.gov/gene/?term=23053
TBKBP1	TBKBP1	TBK1 binding protein 1	9755	https://www.ncbi.nlm.nih.gov/gene/?term=9755
SOBP	SOBP	sine oculis binding protein homolog	55084	https://www.ncbi.nlm.nih.gov/gene/?term=55084
NOTO	NOTO	notochord homeobox	344022	https://www.ncbi.nlm.nih.gov/gene/?term=344022
VGLL3	VGLL3	vestigial like family member 3	389136	https://www.ncbi.nlm.nih.gov/gene/?term=389136
AHRR	AHRR	aryl-hydrocarbon receptor repressor	57491	https://www.ncbi.nlm.nih.gov/gene/?term=57491
KBTBD13	KBTBD13	kelch repeat and BTB domain containing 13	390594	https://www.ncbi.nlm.nih.gov/gene/?term=390594
ARVCF	ARVCF	ARVCF, delta catenin family member	421	https://www.ncbi.nlm.nih.gov/gene/?term=421
SUPT5H	SUPT5H	SPT5 homolog, DSIF elongation factor subunit	6829	https://www.ncbi.nlm.nih.gov/gene/?term=6829
FOXE1	FOXE1	forkhead box E1	2304	https://www.ncbi.nlm.nih.gov/gene/?term=2304
GOLIM4	GOLIM4	golgi integral membrane protein 4	27333	https://www.ncbi.nlm.nih.gov/gene/?term=27333
AGRN	AGRN	agrin	375790	https://www.ncbi.nlm.nih.gov/gene/?term=375790
BCL9	BCL9	BCL9, transcription coactivator	607	https://www.ncbi.nlm.nih.gov/gene/?term=607
PITPNM1	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	9600	https://www.ncbi.nlm.nih.gov/gene/?term=9600
SH2B2	SH2B2	SH2B adaptor protein 2	10603	https://www.ncbi.nlm.nih.gov/gene/?term=10603
ARID1A	ARID1A	AT-rich interaction domain 1A	8289	https://www.ncbi.nlm.nih.gov/gene/?term=8289
NRG2	NRG2	neuregulin 2	9542	https://www.ncbi.nlm.nih.gov/gene/?term=9542
SOCS6	SOCS6	suppressor of cytokine signaling 6	9306	https://www.ncbi.nlm.nih.gov/gene/?term=9306
ARHGAP33	ARHGAP33	Rho GTPase activating protein 33	115703	https://www.ncbi.nlm.nih.gov/gene/?term=115703
NCAN	NCAN	neurocan	1463	https://www.ncbi.nlm.nih.gov/gene/?term=1463
DVL2	DVL2	dishevelled segment polarity protein 2	1856	https://www.ncbi.nlm.nih.gov/gene/?term=1856
IRS4	IRS4	insulin receptor substrate 4	8471	https://www.ncbi.nlm.nih.gov/gene/?term=8471
KMT2D	KMT2D	lysine methyltransferase 2D	8085	https://www.ncbi.nlm.nih.gov/gene/?term=8085
MEIS2	MEIS2	Meis homeobox 2	4212	https://www.ncbi.nlm.nih.gov/gene/?term=4212
TCERG1	TCERG1	transcription elongation regulator 1	10915	https://www.ncbi.nlm.nih.gov/gene/?term=10915
OPLAH	OPLAH	5-oxoprolinase, ATP-hydrolysing	26873	https://www.ncbi.nlm.nih.gov/gene/?term=26873
HGS	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	9146	https://www.ncbi.nlm.nih.gov/gene/?term=9146
ARHGEF10	ARHGEF10	Rho guanine nucleotide exchange factor 10	9639	https://www.ncbi.nlm.nih.gov/gene/?term=9639
SPTBN2	SPTBN2	spectrin beta, non-erythrocytic 2	6712	https://www.ncbi.nlm.nih.gov/gene/?term=6712
SEC16A	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor	9919	https://www.ncbi.nlm.nih.gov/gene/?term=9919
PLXNB2	PLXNB2	plexin B2	23654	https://www.ncbi.nlm.nih.gov/gene/?term=23654
TECPR2	TECPR2	tectonin beta-propeller repeat containing 2	9895	https://www.ncbi.nlm.nih.gov/gene/?term=9895
SETD1A	SETD1A	SET domain containing 1A, histone lysine methyltransferase	9739	https://www.ncbi.nlm.nih.gov/gene/?term=9739
KDM6B	KDM6B	lysine demethylase 6B	23135	https://www.ncbi.nlm.nih.gov/gene/?term=23135
PER2	PER2	period circadian regulator 2	8864	https://www.ncbi.nlm.nih.gov/gene/?term=8864
SYNM	SYNM	synemin	23336	https://www.ncbi.nlm.nih.gov/gene/?term=23336
PFAS	PFAS	phosphoribosylformylglycinamidine synthase	5198	https://www.ncbi.nlm.nih.gov/gene/?term=5198
ARHGEF11	ARHGEF11	Rho guanine nucleotide exchange factor 11	9826	https://www.ncbi.nlm.nih.gov/gene/?term=9826
TBX3	TBX3	T-box 3	6926	https://www.ncbi.nlm.nih.gov/gene/?term=6926
LDLRAD4	LDLRAD4	low density lipoprotein receptor class A domain containing 4	753	https://www.ncbi.nlm.nih.gov/gene/?term=753
TBXT	TBXT	T-box transcription factor T	6862	https://www.ncbi.nlm.nih.gov/gene/?term=6862
EPHB6	EPHB6	EPH receptor B6	2051	https://www.ncbi.nlm.nih.gov/gene/?term=2051
SMAD9	SMAD9	SMAD family member 9	4093	https://www.ncbi.nlm.nih.gov/gene/?term=4093
RGL2	RGL2	ral guanine nucleotide dissociation stimulator like 2	5863	https://www.ncbi.nlm.nih.gov/gene/?term=5863
LAMA5	LAMA5	laminin subunit alpha 5	3911	https://www.ncbi.nlm.nih.gov/gene/?term=3911
CASC3	CASC3	CASC3, exon junction complex subunit	22794	https://www.ncbi.nlm.nih.gov/gene/?term=22794
FANCA	FANCA	FA complementation group A	2175	https://www.ncbi.nlm.nih.gov/gene/?term=2175
SOX12	SOX12	SRY-box 12	6666	https://www.ncbi.nlm.nih.gov/gene/?term=6666
SIGLEC5	SIGLEC5	sialic acid binding Ig like lectin 5	8778	https://www.ncbi.nlm.nih.gov/gene/?term=8778
TOX3	TOX3	TOX high mobility group box family member 3	27324	https://www.ncbi.nlm.nih.gov/gene/?term=27324
CLOCK	CLOCK	clock circadian regulator	9575	https://www.ncbi.nlm.nih.gov/gene/?term=9575
PER1	PER1	period circadian regulator 1	5187	https://www.ncbi.nlm.nih.gov/gene/?term=5187
PLXNB1	PLXNB1	plexin B1	5364	https://www.ncbi.nlm.nih.gov/gene/?term=5364
RBFOX2	RBFOX2	RNA binding fox-1 homolog 2	23543	https://www.ncbi.nlm.nih.gov/gene/?term=23543
