geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0048018	receptor ligand activity	http://amigo.geneontology.org/amigo/term/GO:0048018	336	16	3.6555082166768105	4.376956376956377	7.517921717381526e-7	0.0011660296583658747	265;268;1392;1440;1489;3623;3958;4050;4909;8740;9518;53342;64806;94027;151176;151449	TNFSF14;AMH;INHA;CRH;CSF3;LGALS3;NTF4;LTB;CTF1;GDF7;IL17D;AMELX;GDF15;IL25;CGB7;ERFE
GO:0030545	receptor regulator activity	http://amigo.geneontology.org/amigo/term/GO:0030545	362	16	3.938374923919659	4.0625893443573	2.00010668149897e-6	0.0015510827315024511	265;268;1392;1440;1489;3623;3958;4050;4909;8740;9518;53342;64806;94027;151176;151449	TNFSF14;AMH;INHA;CRH;CSF3;LGALS3;NTF4;LTB;CTF1;GDF7;IL17D;AMELX;GDF15;IL25;CGB7;ERFE
GO:0005125	cytokine activity	http://amigo.geneontology.org/amigo/term/GO:0005125	157	9	1.7080797321972	5.269074874170416	5.3647737334516776e-5	0.026994713648577	1440;1489;3623;4050;8740;9518;53342;64806;151449	TNFSF14;INHA;CSF3;LTB;CTF1;GDF7;IL17D;GDF15;IL25
GO:0030021	extracellular matrix structural constituent conferring compression resistance	http://amigo.geneontology.org/amigo/term/GO:0030021	21	4	0.22846926354230065	17.50782550782551	6.96188617629323e-5	0.026994713648577	265;266;5553;150356	PRG2;CHADL;AMELX;AMELY
GO:0005126	cytokine receptor binding	http://amigo.geneontology.org/amigo/term/GO:0005126	211	10	2.295572124163116	4.356212507871276	1.0251852496179215e-4	0.03180124644314792	268;637;1440;1489;3623;4050;8740;9518;64806;151449	TNFSF14;AMH;INHA;CSF3;BID;LTB;CTF1;GDF7;GDF15;IL25
GO:0061630	ubiquitin protein ligase activity	http://amigo.geneontology.org/amigo/term/GO:0061630	185	9	2.0127054169202676	4.471593271593272	1.884195199843841e-4	0.04870644591596329	6047;6049;7428;51132;55336;55658;84937;223082;494470	VHL;RNF4;RNF165;ZNRF1;ZNRF2;RNF126;RLIM;RNF6;FBXL8
GO:0061659	ubiquitin-like protein ligase activity	http://amigo.geneontology.org/amigo/term/GO:0061659	190	9	2.0671028606208153	4.353919764446081	2.3002204399302784e-4	0.050050474053207505	6047;6049;7428;51132;55336;55658;84937;223082;494470	VHL;RNF4;RNF165;ZNRF1;ZNRF2;RNF126;RLIM;RNF6;FBXL8
GO:0008494	translation activator activity	http://amigo.geneontology.org/amigo/term/GO:0008494	12	3	0.13055386488131465	22.979020979020984	2.581584735175113e-4	0.050050474053207505	57054;57055;66037	DAZ2;BOLL;DAZ3
GO:0005102	signaling receptor binding	http://amigo.geneontology.org/amigo/term/GO:0005102	1250	27	13.599360925136944	1.9853874125874127	3.97537499732481e-4	0.06519896879257189	265;268;637;1392;1440;1489;1943;2778;3385;3623;3958;4050;4909;6047;6049;8740;8839;9518;10874;53342;55658;55997;64806;94027;151176;151449;653275	TNFSF14;EFNA2;CCN5;GNAS;AMH;INHA;CRH;CSF3;CFC1;LGALS3;ICAM3;NTF4;NMU;BID;RNF4;LTB;CTF1;GDF7;IL17D;AMELX;GDF15;RNF126;IL25;RNF6;CGB7;ERFE;CFC1B
GO:0071855	neuropeptide receptor binding	http://amigo.geneontology.org/amigo/term/GO:0071855	14	3	0.15231284236153378	19.696303696303698	4.20367303627156e-4	0.06519896879257189	1392;2778;10874	GNAS;CRH;NMU
