Taxon	UniProt proteome ID	NCBI taxon ID	Total sequences in proteome
Escherichia phage EP335	UP000257884	2070199	125
Escherichia phage vB_EcoM_ECOO78	UP000221777	1970797	56
Escherichia phage vB_EcoM-Ro157lw	UP000294705	2144177	102
Escherichia phage Av-05	UP000028961	1527519	209
Escherichia phage JSE	UP000001474	576789	277
Escherichia phage CICC 80001	UP000029354	1527506	49
Escherichia phage usur	UP000464364	2696459	51
Escherichia virus phiEco32	UP000002006	490103	128
Escherichia phage vB_EcoM_Goslar	UP000294673	2502409	247
Escherichia coli O157 typing phage 10	UP000033806	1508672	50
Escherichia virus mEp460_4F5	UP000423323	2686058	61
Escherichia phage Pollock	UP000030324	1540097	84
Escherichia coli phage vB_EcoS_Ace	UP000516420	2769806	165
Escherichia phage 13a	UP000000615	532076	55
Escherichia phage C1	UP000273371	2340716	76
Escherichia phage vB_EcoM_005	UP000288494	2500761	250
Escherichia phage Evi	UP000427113	2562642	58
Escherichia phage ECBP1	UP000007330	1604356	82
Escherichia phage Lambda_ev243	UP000423036	2742957	68
Escherichia phage vB_EcoS-12469I	UP000349990	2576507	66
Escherichia phage phiv205-1	UP000366750	2663260	70
Escherichia phage O18-011	UP000504721	2742113	120
Escherichia phage inny	UP000464907	2696407	245
Escherichia phage vB_EcoM_WL-3	UP000594201	2776769	269
Enterobacteria phage HK106	UP000010369	432198	65
Enterobacteria phage phiJLA23	UP000011255	1273706	65
Escherichia phage mEp234	UP000010394	1147157	61
Escherichia virus P2	UP000009092	10679	43
Escherichia phage CLB_P1	UP000594044	1262524	58
Escherichia phage mEp460_ev081	UP000425181	2695846	60
Escherichia phage mio	UP000502826	2696419	120
Escherichia phage EK010	UP000505302	2742112	116
Escherichia phage ECP1	UP000224802	2015807	63
Escherichia phage TL-2011b	UP000007860	1124654	57
Escherichia phage vB_Eco_mar003J3	UP000308526	2419761	163
Escherichia phage dune	UP000464908	2696392	125
Escherichia phage vB_EcoP_PHB19	UP000465040	2698729	50
Escherichia phage vB_EcoM_fHy-Eco03	UP000664912	2815753	81
Stx2-converting phage Stx2a_WGPS2	UP000222533	1226260	66
Escherichia phage LM33_P1	UP000204550	1788294	49
Escherichia phage Lambda_ev066	UP000425672	2742951	71
Escherichia phage N30	UP000282066	2340719	44
Escherichia phage K1ind1	UP000001893	698488	51
Escherichia phage JEP4	UP000594514	2759219	61
Escherichia phage vB_EcoS-Ro145clw	UP000289181	2079541	67
Escherichia phage vB_EcoP_SP7	UP000515341	2750854	53
Escherichia phage Lys8385Vzw	UP000516597	2724332	68
Escherichia phage myPSH1131	UP000244507	2108117	93
Escherichia phage K1G	UP000001891	698486	52
Escherichia phage ESSI2_ev015	UP000426810	2695850	43
Escherichia phage vB_EcoP_F	UP000221741	1933110	48
Escherichia phage FFH2	UP000026907	1446490	218
Escherichia phage sortsyn	UP000464017	2696447	62
Escherichia phage ADB-2	UP000009210	1216926	78
Escherichia phage N7	UP000268950	2340720	56
Enterobacteria phage fiAA91-ss	UP000017185	1357825	40
Stx1 converting phage AU5Stx1	UP000224310	1855815	85
Escherichia phage D6	UP000225255	2014434	118
Escherichia phage vB_EcoS_fPoEco01	UP000516095	2762429	77
Escherichia phage HK542	UP000010373	432200	56
Escherichia virus K1E	UP000001154	344022	62
Escherichia phage vB_EcoS_XY2	UP000501310	2681675	73
Escherichia virus Lambda_4A7	UP000425679	2686055	70
Escherichia virus P2-4A7b	UP000423183	2844219	48
Escherichia virus T5	UP000002107	10726	118
2886902	UP000008535	2886902	203
Escherichia phage vB_EcoP_24B	UP000009272	866553	88
Enterobacteria phage P7	UP000229597	10682	113
Escherichia phage Ro45lw	UP000286882	2498616	50
Escherichia virus Lambda_4B5	UP000424113	2686056	75
Escherichia phage vB_EcoP_SP5M	UP000515392	2750853	88
Escherichia phage vB_EcoS_W011D	UP000306677	2575323	85
Escherichia phage ECBP5	UP000033808	1498172	62
Escherichia phage GA2A	UP000204484	1755695	56
Escherichia phage V18	UP000221612	1981500	207
Escherichia phage wV8	UP000201889	576791	140
Escherichia phage Ayreon	UP000223375	2040288	58
Escherichia phage alia	UP000464502	2696379	240
Escherichia phage vB_EcoM-4HA13	UP000509770	2601675	81
Escherichia phage KIT03	UP000271845	2218499	268
Escherichia phage DE3	UP000008184	482822	56
Escherichia phage phiv142-3	UP000328074	2601647	53
Escherichia phage HK630	UP000010372	1147146	69
