Taxon	UniProt proteome ID	NCBI taxon ID	Total sequences in proteome
Mycobacterium phage Lang	UP000594027	2782565	59
Mycobacterium phage prophi79-1	UP000662843	2813221	108
Mycobacterium phage Fushigi	UP000289710	2502430	86
Mycobacterium phage Bernal13	UP000024441	1486424	60
Mycobacterium phage Bactobuster	UP000202432	1784956	87
Mycobacterium phage Roy17	UP000258573	2250307	99
Mycobacterium phage Jabiru	UP000244320	2126951	86
Mycobacterium phage Galactic	UP000269031	2301612	109
Mycobacterium virus Pukovnik	UP000001211	540068	88
Mycobacterium phage PhelpsODU	UP000223105	2015822	90
Mycobacterium phage Priscilla	UP000240408	2081627	105
Mycobacterium phage NaSiaTalie	UP000225049	1777062	98
Mycobacterium phage Baee	UP000204054	1647306	96
Mycobacterium phage prophiGD24-3	UP000663644	2813252	90
Mycobacterium phage Elephantoon	UP000291502	2530187	97
Mycobacterium phage Arlo	UP000259519	2283250	96
Mycobacterium virus Dorothy	UP000003794	1225861	104
Mycobacterium phage Ruby	UP000261782	2301713	99
Mycobacterium virus Littlee	UP000008414	1034111	229
Mycobacterium phage Predator	UP000000621	543153	92
Mycobacterium phage prophiGD43A-1	UP000662767	2813260	118
Mycobacterium phage Henu3 PeY-2017	UP000291665	2571241	95
Mycobacterium Phage Rachaly	UP000316118	2588140	91
Mycobacterium phage BirdsNest	UP000463946	2686231	105
Mycobacterium phage Chadwick	UP000203217	1698366	88
Mycobacterium phage Abrogate	UP000029886	1551710	91
Mycobacterium phage Serenity	UP000203493	1701853	97
Mycobacterium phage Job42	UP000014222	1327771	106
Mycobacterium phage Daenerys	UP000015581	1340822	102
Mycobacterium phage PattyP	UP000013553	1327773	92
Mycobacterium phage Winky	UP000013558	1327778	132
Mycobacterium phage Ringer	UP000291664	2530144	91
Mycobacterium virus Bxz2	UP000000729	205870	86
Mycobacterium phage prophiGD05-1	UP000662856	2813231	95
Mycobacterium phage Tortellini	UP000222614	1897497	76
Mycobacterium phage Steamy	UP000259157	2250309	90
Mycobacterium phage Trixie	UP000008902	1071503	92
Mycobacterium phage Beckerton	UP000510657	2743993	92
Mycobacterium phage OwlsT2W	UP000244848	2126954	103
Mycobacterium phage 39HC	UP000203337	1463809	100
Mycobacterium phage Lokk	UP000222841	2015821	89
Mycobacterium phage Tweety	UP000001995	439809	109
Mycobacterium virus CJW1	UP000000968	205869	141
Mycobacterium phage Send513	UP000222380	1034146	98
Mycobacterium phage IPhane7	UP000263300	2301552	137
Mycobacterium phage Indlulamithi	UP000423609	2656582	111
Mycobacterium phage Wilkins	UP000241083	2047845	94
Mycobacterium phage PG1	UP000001769	213236	100
Mycobacterium phage Phabba	UP000226037	2027899	244
