Taxon	UniProt proteome ID	NCBI taxon ID	Total sequences in proteome
Fervidicola ferrireducens	UP000070427	520764	2421
Mycolicibacterium vanbaalenii PYR-1	UP000009159	350058	5902
Sulfuricurvum sp. MLSB	UP000029313	1537917	2005
Leeuwenhoekiella blandensis MED217	UP000001601	398720	3687
Pluralibacter gergoviae	UP000036196	61647	4977
Pseudoalteromonas ruthenica	UP000033664	151081	3470
Oceanicoccus sagamiensis	UP000193450	716816	3870
Actinoallomurus bryophytorum	UP000316096	1490222	8518
Luteimicrobium subarcticum	UP000231586	620910	3150
Nitrospinae bacterium	UP000586014	2026769	2083
Marinobacter similis	UP000061489	1420916	2692
Bacillus yapensis	UP000271374	2492960	4414
Paraburkholderia sp. SOS3	UP000184708	1926494	6401
Puniceicoccus vermicola	UP000525652	388746	4123
Parapedobacter sp. SGR-10	UP000474712	2710879	3499
Brevibacillus laterosporus LMG 15441	UP000005850	1042163	4532
Couchioplanes caeruleus subsp. caeruleus	UP000182486	56427	6851
Thauera sp. 63	UP000013007	497321	3951
Botrimarina mediterranea	UP000316426	2528022	4587
Sediminispirochaeta smaragdinae DSM 11293	UP000002318	573413	4211
Arthrobacter sp. FB24	UP000000754	290399	4453
Labrys okinawensis	UP000237682	346911	5818
candidate division TM6 bacterium Zodletone_IIa	UP000242648	1511133	174
Sphingobium fontiphilum	UP000552757	944425	3319
Leuconostoc fallax	UP000295681	1251	1619
Thermosyntropha lipolytica DSM 11003	UP000242329	1123382	2141
Ornithinibacillus halophilus	UP000183988	930117	3462
Amylibacter cionae	UP000235124	2035344	3948
Phycicoccus elongatus Lp2	UP000013167	1193181	3089
Clostridium sp. CAG:75	UP000018032	1262836	2286
Salinibacillus xinjiangensis	UP000480185	1229268	3701
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	UP000002587	413404	976
Planctomycetes bacterium K23_9	UP000319817	1930275	5858
Parvibacter caecicola	UP000309454	747645	1821
Rhodospira trueperi	UP000199412	69960	3690
Aeromicrobium sp. Leaf289	UP000051640	1736324	3243
Prevotella sp. CAG:732	UP000018039	1262934	2409
Spirobacillus cienkowskii	UP000253934	495820	2415
Massilia namucuonensis	UP000199391	1035707	7034
Propionimicrobium lymphophilum ACS-093-V-SCH5	UP000014417	883161	2076
Halovibrio salipaludis	UP000218896	2032626	3225
Candidatus Blochmannia vafer str. BVAF	UP000007464	859654	587
bacterium HR15	UP000236332	2035410	2671
Nocardioides silvaticus	UP000245507	2201891	4220
Lampropedia cohaerens	UP000050580	1610491	2593
Prochlorococcus marinus str. MIT 9313	UP000001423	74547	2830
Sphingobacterium deserti	UP000031802	1229276	3969
Butyrivibrio sp. CAG:318	UP000018075	1262761	2127
Metabacillus litoralis	UP000078534	152268	4919
Bosea sp. Leaf344	UP000050986	1736346	3876
Afipia sp. Root123D2	UP000051348	1736436	4397
Asticcacaulis taihuensis	UP000199150	260084	3569
Clostridium baratii str. Sullivan	UP000030635	1415775	3167
Ectothiorhodospiraceae bacterium BW-2	UP000324770	947515	3445
Halothermothrix orenii H 168	UP000000719	373903	2324
Lysobacter alkalisoli	UP000317199	2591633	3262
Sporomusa ovata	UP000049855	2378	5251
Telmatospirillum siberiense	UP000233293	382514	5353
Paenibacillus paeoniae	UP000261905	2292705	5044
Planococcus lenghuensis	UP000188184	2213202	3921
Candidatus Aquirickettsiella gammari	UP000226429	2016198	1375
Bellilinea caldifistulae	UP000050514	360411	2990
Reinekea marinisedimentorum	UP000295793	230495	3800
Veillonella sp. DORA_B_18_19_23	UP000053161	1403933	870
Dialister sp. CAG:588	UP000018383	1262871	1171
Salipiger aestuarii	UP000249165	568098	4452
Sinimarinibacterium sp. NLF-5-8	UP000464548	2698684	2927
Sinorhizobium sp. RAC02	UP000094279	1842534	6245
Planctomicrobium piriforme	UP000199518	1576369	5057
Noviherbaspirillum humi	UP000198284	1688639	4789
Clostridium sp. CAG:571	UP000018370	1262822	1620
Streptomyces sp. IB201691-2A2	UP000317862	2561920	9596
Cardinium endosymbiont cBtQ1 of Bemisia tabaci	UP000024482	1354314	694
Alteriqipengyuania lutimaris	UP000254101	1538146	3062
Ileibacterium valens	UP000186341	1862668	2365
Dictyobacter kobayashii	UP000287188	2014872	8237
Mycoplasma iowae DK-CPA	UP000028523	1394179	854
Saccharophagus degradans 2-40	UP000001947	203122	3999
Psychrobacillus glaciei	UP000325517	2283160	3932
Rhizobium sp. KAs_5_22	UP000238280	2067668	5237
Nocardioides sp.	UP000308550	35761	4389
Candidatus Thiodiazotropha endolucinida	UP000094769	1655433	4134
Streptomyces sp. Ag109_O5-10	UP000198812	1855349	8132
Bifidobacterium hapali	UP000216074	1630172	2249
Microbacterium caowuchunii	UP000326838	2614638	3053
Thiothrix caldifontis	UP000199397	525918	3757
Paucilactobacillus oligofermentans DSM 15707 = LMG 22743	UP000051697	1423778	1735
Gordonia effusa NBRC 100432	UP000035034	1077974	4419
Hanstruepera neustonica	UP000236641	1445657	2739
Thalassomonas sp. M1454	UP000318329	2594477	3137
bacterium LRH843	UP000471514	2681972	7593
Microbacterium sp. ABRD_28	UP000280903	2268461	3036
Marmoricola pocheonensis	UP000279994	661485	4648
Sphingobacterium sp. CZ-2	UP000294533	2557994	3302
Aureimonas leprariae	UP000432089	2615207	4508
Glaciibacter flavus	UP000307380	2565934	3119
Sphingomonas guangdongensis	UP000219494	1141890	3454
Mariniflexile sp. TRM1-10	UP000259852	2027857	4002
Nocardioides sp. Leaf285	UP000051495	1736322	3888
Streptoalloteichus hindustanus	UP000184501	2017	6533
Oblitimonas alkaliphila	UP000063953	1697053	2127
bacterium AMD01	UP000289269	2506947	639
Amedibacillus dolichus DSM 3991	UP000004090	428127	2311
Starkeya sp. ORNL1	UP000501533	2709380	5747
Streptomyces avermitilis MA-4680 = NBRC 14893	UP000000428	227882	7672
Sphingobium sp. MI1205	UP000060707	407020	4473
